,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,Insolation,Period,T_eff,Radius,Discovery,st_log_lum,semi_au,masse_est,hostname,H_Tidal,H_Radio,H_Total
33,33,33,33,KOI-6343.01,0.615537491127771, 569.45051,234.85147078400743,1.96, Kepler,0.0535485903119301,1.3556483197676097,4.500244547211932,KIC 3548622,1068024398.2502806,437186957656694.0,437188025681092.25
34,34,34,34,KOI-7591.01,0.3011944009763681, 328.32211,196.4225660855576,1.2747005988023952, Kepler,-0.692,0.8214413350595482,2.1677396106468705,KIC 8297319,130210.20067208797,120260651653507.75,120260651783717.95
35,35,35,35,KOI-8107.01,1.000254234330154, 578.88761,265.15953971585265,1.1927856025039123, Kepler,0.282,1.3833905374639908,1.828166425435488,KIC 5802205,117593175.24898018,98534007932113.77,98534125525289.02
36,36,36,36,KOI-8242.01,0.8944769181739582, 331.55459,257.85285321989574,1.4788514357053684, Kepler,-0.128,0.912463352764712,2.789603794553107,KIC 3629119,1844937770.5991197,187790070605300.78,187791915543071.38
37,37,37,37,KOI-7923.01,0.4292348540045665, 395.13138,214.61170345360387,0.9108400460299194, Kepler,-0.402,0.9608431762785812,0.6953921895483056,KIC 9084569,188425871.24625304,43875828782876.71,43876017208747.96
38,38,38,38,KOI-8253.01,1.0098682399409906, 400.11482,265.7944053475298,1.16794731064764, Kepler,0.072,1.0811044202070668,1.6953484131491314,KIC 5098334,2564916.312051639,92505751644766.94,92505754209683.25
39,39,39,39,KOI-8047.01,0.3838372232985108, 302.34971,208.6971071103148,1.8627959697733, Kepler,-0.604,0.8052420680438445,4.127913068294494,KIC 11294822,42156649694.15321,375314075604925.5,375356232254619.6
40,40,40,40,KOI-7953.01,0.6916317970365066, 432.96905,241.7956005539192,1.6285214446952592, Kepler,-0.098,1.074144043203905,3.285695429079788,KIC 9650579,911022059.6930835,250772222405226.78,250773133427286.47
41,41,41,41,EPIC 246711015.01,0.5541122904330692, 13.284219,228.7594810199761,1.233, K2,-2.842083993045025,0.050951750816415,2.048718566365374,EPIC 246711015,6543328198317615.0,108839919810570.03,6652168118128185.0
42,42,42,42,EPIC 246711015.02,0.2488732492088479, 24.213117,187.27258759498767,0.505, K2,-2.842083993045025,0.0760271822095375,0.0839705123946123,EPIC 246711015,3289259322508.2656,7477787470247.992,10767046792756.258
43,43,43,43,TOI-715.01,0.7261032713389735, 19.2879717386223,244.75369398352447,1.5946642617570208, TESS,-2.3089862967178845,0.0822257143045876,3.170562123226754,TIC 271971130,2293553293771498.0,235454376482845.22,2529007670254343.0
44,44,44,44,TOI-2263.01,0.857411770378014, NaN,,1.63308873541313, TESS,-0.1913290401860418,,3.3013557916855825,TIC 159400561,,252888064702702.06,
45,45,45,45,TOI-2433.01,0.381980293121693, NaN,,1.81031012789185, TESS,-1.979494682279132,,3.932393900207237,TIC 405763009,,344475172807794.94,
46,46,46,46,TOI-4328.01,0.1225108819241259, 703.79367004987,156.86401378223292,1.8602948990525696, TESS,-0.6153204945496155,1.4068649812480258,4.118507773492812,TIC 77175217,64936223.17609753,373804365519329.44,373804430455552.6
